others,lab_metro_general,con_metro_general,libdem_metro_general
-2.469836397,0.719632762,-0.642968743,-0.349247128
-2.277542957,-0.250239813,0.000193133,0.780830472
-2.197224577,0.270853573,0.151399758,-0.76166677
-2.050518502,-0.004783559,0.038508089,-0.045077325
-2.040655517,-0.349621386,0.572671293,-0.963048124
-1.857454728,0.068166912,-0.088573838,0.187910174
-1.643421765,-0.064395117,0.104071203,-0.237317866
-1.463058377,0.026619286,0.125295527,-0.190970792
-1.392556122,0.055384745,-0.597453212,0.722929589
-0.944461609,0.182350033,-0.582430025,0.733792005
-0.934562498,-0.182656409,0.005486273,0.258032055
-0.833052605,0.306996418,-0.769250516,0.680024983
-0.084049444,-1.358221563,0.857816,0.741445032
