,election,incumbenteffect,first_other,lab,con,libdem,winprob_other,winprob_lab,winprob_con,winprob_libdem
0,election,incumbenteffect,first_other,lab,con,libdem,winprob_other,winprob_lab,winprob_con,winprob_libdem
1,cambridgeshirepeterborough2021,0,0.0,34.80125949691136,48.106570431444695,17.092170071643785,0.0,0.25145,0.72633,0.02222
2,cambridgeshirepeterborough2021,0.1,0.0,34.810719812134785,48.06891523605445,17.120364951810764,0.0,0.25219,0.72674,0.02107
3,cambridgeshirepeterborough2021,0.2,0.0,34.79607029406196,48.10161254310923,17.10231716282936,0.0,0.25112,0.72779,0.02109
4,cambridgeshirepeterborough2021,0.3,0.0,34.79753634911087,48.11070305080673,17.09176060008214,0.0,0.25071,0.72742,0.02187
5,cambridgeshirepeterborough2021,0.4,0.0,34.88698474117784,48.069091261083166,17.04392399773836,0.0,0.25375,0.72519,0.02106
6,cambridgeshirepeterborough2021,0.5,0.0,34.79189190792536,48.11059304672509,17.097515045350537,0.0,0.25207,0.72646,0.02147
7,cambridgeshirepeterborough2021,0.6,0.0,34.738750599409386,48.159269356532775,17.101980044057445,0.0,0.24813,0.73134,0.02053
8,cambridgeshirepeterborough2021,0.7,0.0,34.82487883108745,48.10342306761513,17.07169810129725,0.0,0.25085,0.72738,0.02177
9,cambridgeshirepeterborough2021,0.8,0.0,34.80050033480055,48.12354445992492,17.07595520527509,0.0,0.25236,0.72657,0.02107
10,cambridgeshirepeterborough2021,0.9,0.0,34.8429014944156,48.05915942527228,17.097939080311697,0.0,0.25234,0.72533,0.02233
11,cambridgeshirepeterborough2021,1.0,0.0,34.86779192989874,48.05226063106368,17.079947439037113,0.0,0.25334,0.72504,0.02162
12,cambridgeshirepeterborough2021,1.1,0.0,34.80241683107136,48.12286383408199,17.07471933484653,0.0,0.24876,0.72953,0.02171
13,cambridgeshirepeterborough2021,1.2,0.0,34.84518135312149,48.124177135900084,17.03064151097785,0.0,0.25394,0.72475,0.02131
14,cambridgeshirepeterborough2021,1.3,0.0,34.77077203109589,48.139138540450766,17.090089428453677,0.0,0.24961,0.72863,0.02176
15,cambridgeshirepeterborough2021,1.4,0.0,34.85641723559076,48.06610097347228,17.077481790937142,0.0,0.25351,0.7247,0.02179
16,cambridgeshirepeterborough2021,1.5,0.0,34.88086708372818,48.026061434394784,17.093071481877196,0.0,0.25388,0.72414,0.02198
17,cambridgeshirepeterborough2021,1.6,0.0,34.81704458796606,48.11716907151943,17.065786340514656,0.0,0.2519,0.72625,0.02185
18,cambridgeshirepeterborough2021,1.7,0.0,34.803483951710795,48.12714818133595,17.06936786695268,0.0,0.25367,0.72476,0.02157
19,cambridgeshirepeterborough2021,1.8,0.0,34.890258432941685,48.0726344121185,17.037107154940898,0.0,0.25413,0.72466,0.02121
20,cambridgeshirepeterborough2021,1.9,0.0,34.84518308101369,48.1121165141677,17.042700404819367,0.0,0.25143,0.72705,0.02152
21,cambridgeshirepeterborough2021,2.0,0.0,34.74577094158585,48.15819953466522,17.096029523748584,0.0,0.25063,0.72713,0.02224
22,cambridgeshirepeterborough2021,2.1,0.0,34.81996874495215,48.0763746767344,17.103656578313444,0.0,0.25217,0.72645,0.02138
23,cambridgeshirepeterborough2021,2.2,0.0,34.845195621496465,48.07746462397981,17.077339754523106,0.0,0.25249,0.72581,0.0217
24,cambridgeshirepeterborough2021,2.3,0.0,34.782595450515274,48.15964839102318,17.05775615846161,0.0,0.25138,0.72791,0.02071
25,cambridgeshirepeterborough2021,2.4,0.0,34.8222921332567,48.11103437770697,17.066673489036543,0.0,0.25448,0.72463,0.02089
26,cambridgeshirepeterborough2021,2.5,0.0,34.824036915299565,48.04049974109413,17.13546334360655,0.0,0.25259,0.72528,0.02213
27,cambridgeshirepeterborough2021,2.6,0.0,34.787975236791794,48.124791677043596,17.087233086164648,0.0,0.25179,0.72701,0.0212
28,cambridgeshirepeterborough2021,2.7,0.0,34.80647839020068,48.12353664630374,17.069984963495223,0.0,0.25096,0.7281,0.02094
29,cambridgeshirepeterborough2021,2.8,0.0,34.844816835523694,48.07998006721741,17.075203097258832,0.0,0.25216,0.72633,0.02151
30,cambridgeshirepeterborough2021,2.9,0.0,34.80014355919438,48.08204172543631,17.11781471536964,0.0,0.25233,0.72571,0.02196
31,cambridgeshirepeterborough2021,3.0,0.0,34.84812927711927,48.067976319667686,17.08389440321181,0.0,0.25306,0.72527,0.02167
32,cambridgeshirepeterborough2021,3.1,0.0,34.8296885315977,48.059489060667566,17.11082240773478,0.0,0.2531,0.72476,0.02214
33,cambridgeshirepeterborough2021,3.2,0.0,34.805358906235206,48.10001188322049,17.09462921054468,0.0,0.25181,0.72625,0.02194
34,cambridgeshirepeterborough2021,3.3,0.0,34.86839549025894,48.058807139944875,17.072797369794976,0.0,0.24987,0.72774,0.02239
35,cambridgeshirepeterborough2021,3.4,0.0,34.85687695364009,48.03802761533856,17.105095431021198,0.0,0.25236,0.72567,0.02197
36,cambridgeshirepeterborough2021,3.5,0.0,34.83877924633057,48.0825729017835,17.078647851886284,0.0,0.25099,0.72681,0.0222
37,cambridgeshirepeterborough2021,3.6,0.0,34.816445059683666,48.120027781684314,17.063527158631214,0.0,0.25165,0.72675,0.0216
38,cambridgeshirepeterborough2021,3.7,0.0,34.809715225455065,48.089235454217935,17.10104932032802,0.0,0.25149,0.72673,0.02178
39,cambridgeshirepeterborough2021,3.8,0.0,34.79124448086672,48.059034192627806,17.149721326505986,0.0,0.25195,0.72617,0.02188
40,cambridgeshirepeterborough2021,3.9,0.0,34.87451219427295,48.04339243602368,17.082095369703033,0.0,0.25218,0.72656,0.02126
41,cambridgeshirepeterborough2021,4.0,0.0,34.85064798390663,48.06233708320981,17.087014932883605,0.0,0.25321,0.72499,0.0218
42,cambridgeshirepeterborough2021,4.1,0.0,34.80219358598154,48.11493536166864,17.082871052350026,0.0,0.25039,0.728,0.02161
43,cambridgeshirepeterborough2021,4.2,0.0,34.776849897860025,48.10590322573634,17.11724687640381,0.0,0.25057,0.72759,0.02184
44,cambridgeshirepeterborough2021,4.3,0.0,34.87306917990081,48.039460788292644,17.087470031806557,0.0,0.2543,0.72403,0.02167
45,cambridgeshirepeterborough2021,4.4,0.0,34.794398058503624,48.130253582582995,17.075348358912933,0.0,0.25116,0.72718,0.02166
46,cambridgeshirepeterborough2021,4.5,0.0,34.856844205363835,48.09890980553074,17.044245989104528,0.0,0.25361,0.72562,0.02077
47,cambridgeshirepeterborough2021,4.6,0.0,34.81317843891778,48.09589734204989,17.090924219032296,0.0,0.25029,0.72789,0.02182
48,cambridgeshirepeterborough2021,4.7,0.0,34.82901779832539,48.119036837184495,17.05194536449069,0.0,0.251,0.7275,0.0215
49,cambridgeshirepeterborough2021,4.8,0.0,34.81599794023898,48.10954479178733,17.074457267973443,0.0,0.24999,0.72788,0.02213
50,cambridgeshirepeterborough2021,4.9,0.0,34.82422847071371,48.099554541448995,17.076216987838336,0.0,0.25341,0.72485,0.02174
51,cambridgeshirepeterborough2021,5.0,0.0,34.792542788751625,48.13048415047078,17.076973060777075,0.0,0.24972,0.72894,0.02134
52,cambridgeshirepeterborough2021,5.1,0.0,34.81405071473269,48.07913475798822,17.106814527278953,0.0,0.25115,0.72637,0.02248
53,cambridgeshirepeterborough2021,5.2,0.0,34.839912939469095,48.10901381552764,17.051073245003032,0.0,0.25282,0.72571,0.02147
54,cambridgeshirepeterborough2021,5.3,0.0,34.782998999032195,48.07884450234996,17.138156498618372,0.0,0.25206,0.72522,0.02272
55,cambridgeshirepeterborough2021,5.4,0.0,34.81429564445452,48.12411324301657,17.061591112529314,0.0,0.25199,0.72692,0.02109
56,cambridgeshirepeterborough2021,5.5,0.0,34.83279603598453,48.09190951627613,17.075294447739562,0.0,0.25351,0.72481,0.02168
57,cambridgeshirepeterborough2021,5.6,0.0,34.78566666781289,48.13841314577776,17.075920186409377,0.0,0.25083,0.72799,0.02118
58,cambridgeshirepeterborough2021,5.7,0.0,34.812428318341624,48.078879268824544,17.10869241283447,0.0,0.25413,0.7248,0.02107
59,cambridgeshirepeterborough2021,5.8,0.0,34.802873494827544,48.0851932586291,17.11193324654331,0.0,0.2528,0.72539,0.02181
60,cambridgeshirepeterborough2021,5.9,0.0,34.83676693886948,48.06345500536754,17.09977805576352,0.0,0.25381,0.72457,0.02162
61,cambridgeshirepeterborough2021,6.0,0.0,34.80261022726968,48.11988564957339,17.077504123157805,0.0,0.2508,0.72756,0.02164
62,cambridgeshirepeterborough2021,6.1,0.0,34.813398660277265,48.11076245659857,17.075838883124533,0.0,0.252,0.7258,0.0222
63,cambridgeshirepeterborough2021,6.2,0.0,34.77462629271818,48.15071923949371,17.074654467788708,0.0,0.25082,0.72796,0.02122
64,cambridgeshirepeterborough2021,6.3,0.0,34.85087449924893,48.067648526593636,17.081476974157148,0.0,0.25244,0.72605,0.02151
65,cambridgeshirepeterborough2021,6.4,0.0,34.87306860417362,48.02562944850325,17.10130194732324,0.0,0.25321,0.72445,0.02234
66,cambridgeshirepeterborough2021,6.5,0.0,34.77651856418642,48.12442669427026,17.09905474154304,0.0,0.25211,0.72679,0.0211
67,cambridgeshirepeterborough2021,6.6,0.0,34.82450744147104,48.12688975685966,17.048602801668856,0.0,0.25084,0.72839,0.02077
68,cambridgeshirepeterborough2021,6.7,0.0,34.848204907653376,48.0958789265553,17.055916165791036,0.0,0.25276,0.72625,0.02099
69,cambridgeshirepeterborough2021,6.8,0.0,34.792237473564825,48.13993977259434,17.067822753840346,0.0,0.25097,0.72686,0.02217
70,cambridgeshirepeterborough2021,6.9,0.0,34.82849191611774,48.098467477777774,17.073040606104293,0.0,0.25203,0.72675,0.02122
71,cambridgeshirepeterborough2021,7.0,0.0,34.86125495006835,48.05115680973686,17.08758824019408,0.0,0.25282,0.72598,0.0212
72,cambridgeshirepeterborough2021,7.1,0.0,34.77675260619988,48.166378113228774,17.05686928057013,0.0,0.25087,0.72767,0.02146
