0,election,incumbenteffect,first_other,lab,con,libdem,winprob_other,winprob_lab,winprob_con,winprob_libdem
1,cambridgeshirepeterborough2021,0,0,34.8012595,48.10657043,17.09217007,0,0.25,0.73,0.02
2,cambridgeshirepeterborough2021,0.1,0,34.81071981,48.06891524,17.12036495,0,0.25,0.73,0.02
3,cambridgeshirepeterborough2021,0.2,0,34.79607029,48.10161254,17.10231716,0,0.25,0.73,0.02
4,cambridgeshirepeterborough2021,0.3,0,34.79753635,48.11070305,17.0917606,0,0.25,0.73,0.02
5,cambridgeshirepeterborough2021,0.4,0,34.88698474,48.06909126,17.043924,0,0.25,0.73,0.02
6,cambridgeshirepeterborough2021,0.5,0,34.79189191,48.11059305,17.09751505,0,0.25,0.73,0.02
7,cambridgeshirepeterborough2021,0.6,0,34.7387506,48.15926936,17.10198004,0,0.25,0.73,0.02
8,cambridgeshirepeterborough2021,0.7,0,34.82487883,48.10342307,17.0716981,0,0.25,0.73,0.02
9,cambridgeshirepeterborough2021,0.8,0,34.80050033,48.12354446,17.07595521,0,0.25,0.73,0.02
10,cambridgeshirepeterborough2021,0.9,0,34.84290149,48.05915943,17.09793908,0,0.25,0.73,0.02
11,cambridgeshirepeterborough2021,1,0,34.86779193,48.05226063,17.07994744,0,0.25,0.73,0.02
12,cambridgeshirepeterborough2021,1.1,0,34.80241683,48.12286383,17.07471933,0,0.25,0.73,0.02
13,cambridgeshirepeterborough2021,1.2,0,34.84518135,48.12417714,17.03064151,0,0.25,0.73,0.02
14,cambridgeshirepeterborough2021,1.3,0,34.77077203,48.13913854,17.09008943,0,0.25,0.73,0.02
15,cambridgeshirepeterborough2021,1.4,0,34.85641724,48.06610097,17.07748179,0,0.25,0.73,0.02
16,cambridgeshirepeterborough2021,1.5,0,34.88086708,48.02606143,17.09307148,0,0.25,0.72,0.02
17,cambridgeshirepeterborough2021,1.6,0,34.81704459,48.11716907,17.06578634,0,0.25,0.73,0.02
18,cambridgeshirepeterborough2021,1.7,0,34.80348395,48.12714818,17.06936787,0,0.25,0.73,0.02
19,cambridgeshirepeterborough2021,1.8,0,34.89025843,48.07263441,17.03710715,0,0.25,0.73,0.02
20,cambridgeshirepeterborough2021,1.9,0,34.84518308,48.11211651,17.0427004,0,0.25,0.73,0.02
21,cambridgeshirepeterborough2021,2,0,34.74577094,48.15819953,17.09602952,0,0.25,0.73,0.02
22,cambridgeshirepeterborough2021,2.1,0,34.81996874,48.07637468,17.10365658,0,0.25,0.73,0.02
23,cambridgeshirepeterborough2021,2.2,0,34.84519562,48.07746462,17.07733975,0,0.25,0.73,0.02
24,cambridgeshirepeterborough2021,2.3,0,34.78259545,48.15964839,17.05775616,0,0.25,0.73,0.02
25,cambridgeshirepeterborough2021,2.4,0,34.82229213,48.11103438,17.06667349,0,0.25,0.73,0.02
26,cambridgeshirepeterborough2021,2.5,0,34.82403692,48.04049974,17.13546334,0,0.25,0.73,0.02
27,cambridgeshirepeterborough2021,2.6,0,34.78797524,48.12479168,17.08723309,0,0.25,0.73,0.02
28,cambridgeshirepeterborough2021,2.7,0,34.80647839,48.12353665,17.06998496,0,0.25,0.73,0.02
29,cambridgeshirepeterborough2021,2.8,0,34.84481684,48.07998007,17.0752031,0,0.25,0.73,0.02
30,cambridgeshirepeterborough2021,2.9,0,34.80014356,48.08204173,17.11781472,0,0.25,0.73,0.02
31,cambridgeshirepeterborough2021,3,0,34.84812928,48.06797632,17.0838944,0,0.25,0.73,0.02
32,cambridgeshirepeterborough2021,3.1,0,34.82968853,48.05948906,17.11082241,0,0.25,0.73,0.02
33,cambridgeshirepeterborough2021,3.2,0,34.80535891,48.10001188,17.09462921,0,0.25,0.73,0.02
34,cambridgeshirepeterborough2021,3.3,0,34.86839549,48.05880714,17.07279737,0,0.25,0.73,0.02
35,cambridgeshirepeterborough2021,3.4,0,34.85687695,48.03802762,17.10509543,0,0.25,0.73,0.02
36,cambridgeshirepeterborough2021,3.5,0,34.83877925,48.0825729,17.07864785,0,0.25,0.73,0.02
37,cambridgeshirepeterborough2021,3.6,0,34.81644506,48.12002778,17.06352716,0,0.25,0.73,0.02
38,cambridgeshirepeterborough2021,3.7,0,34.80971523,48.08923545,17.10104932,0,0.25,0.73,0.02
39,cambridgeshirepeterborough2021,3.8,0,34.79124448,48.05903419,17.14972133,0,0.25,0.73,0.02
40,cambridgeshirepeterborough2021,3.9,0,34.87451219,48.04339244,17.08209537,0,0.25,0.73,0.02
41,cambridgeshirepeterborough2021,4,0,34.85064798,48.06233708,17.08701493,0,0.25,0.73,0.02
42,cambridgeshirepeterborough2021,4.1,0,34.80219359,48.11493536,17.08287105,0,0.25,0.73,0.02
43,cambridgeshirepeterborough2021,4.2,0,34.7768499,48.10590323,17.11724688,0,0.25,0.73,0.02
44,cambridgeshirepeterborough2021,4.3,0,34.87306918,48.03946079,17.08747003,0,0.25,0.72,0.02
45,cambridgeshirepeterborough2021,4.4,0,34.79439806,48.13025358,17.07534836,0,0.25,0.73,0.02
46,cambridgeshirepeterborough2021,4.5,0,34.85684421,48.09890981,17.04424599,0,0.25,0.73,0.02
47,cambridgeshirepeterborough2021,4.6,0,34.81317844,48.09589734,17.09092422,0,0.25,0.73,0.02
48,cambridgeshirepeterborough2021,4.7,0,34.8290178,48.11903684,17.05194536,0,0.25,0.73,0.02
49,cambridgeshirepeterborough2021,4.8,0,34.81599794,48.10954479,17.07445727,0,0.25,0.73,0.02
50,cambridgeshirepeterborough2021,4.9,0,34.82422847,48.09955454,17.07621699,0,0.25,0.73,0.02
51,cambridgeshirepeterborough2021,5,0,34.79254279,48.13048415,17.07697306,0,0.25,0.73,0.02
52,cambridgeshirepeterborough2021,5.1,0,34.81405071,48.07913476,17.10681453,0,0.25,0.73,0.02
53,cambridgeshirepeterborough2021,5.2,0,34.83991294,48.10901382,17.05107325,0,0.25,0.73,0.02
54,cambridgeshirepeterborough2021,5.3,0,34.782999,48.0788445,17.1381565,0,0.25,0.73,0.02
55,cambridgeshirepeterborough2021,5.4,0,34.81429564,48.12411324,17.06159111,0,0.25,0.73,0.02
56,cambridgeshirepeterborough2021,5.5,0,34.83279604,48.09190952,17.07529445,0,0.25,0.73,0.02
57,cambridgeshirepeterborough2021,5.6,0,34.78566667,48.13841315,17.07592019,0,0.25,0.73,0.02
58,cambridgeshirepeterborough2021,5.7,0,34.81242832,48.07887927,17.10869241,0,0.25,0.73,0.02
59,cambridgeshirepeterborough2021,5.8,0,34.80287349,48.08519326,17.11193325,0,0.25,0.73,0.02
60,cambridgeshirepeterborough2021,5.9,0,34.83676694,48.06345501,17.09977806,0,0.25,0.73,0.02
61,cambridgeshirepeterborough2021,6,0,34.80261023,48.11988565,17.07750412,0,0.25,0.73,0.02
62,cambridgeshirepeterborough2021,6.1,0,34.81339866,48.11076246,17.07583888,0,0.25,0.73,0.02
63,cambridgeshirepeterborough2021,6.2,0,34.77462629,48.15071924,17.07465447,0,0.25,0.73,0.02
364,liverpool2021,6.3,11.72721374,69.89186143,13.76935172,3.029902031,0.03,0.97,0,0
65,cambridgeshirepeterborough2021,6.4,0,34.8730686,48.02562945,17.10130195,0,0.25,0.72,0.02
66,cambridgeshirepeterborough2021,6.5,0,34.77651856,48.12442669,17.09905474,0,0.25,0.73,0.02
67,cambridgeshirepeterborough2021,6.6,0,34.82450744,48.12688976,17.0486028,0,0.25,0.73,0.02
68,cambridgeshirepeterborough2021,6.7,0,34.84820491,48.09587893,17.05591617,0,0.25,0.73,0.02
69,cambridgeshirepeterborough2021,6.8,0,34.79223747,48.13993977,17.06782275,0,0.25,0.73,0.02
70,cambridgeshirepeterborough2021,6.9,0,34.82849192,48.09846748,17.07304061,0,0.25,0.73,0.02
71,cambridgeshirepeterborough2021,7,0,34.86125495,48.05115681,17.08758824,0,0.25,0.73,0.02
72,cambridgeshirepeterborough2021,7.1,0,34.77675261,48.16637811,17.05686928,0,0.25,0.73,0.02
73,cambridgeshirepeterborough2021,7.2,0,34.77494978,48.10458366,17.12046656,0,0.25,0.73,0.02
74,cambridgeshirepeterborough2021,7.3,0,34.81669794,48.08543715,17.09786491,0,0.25,0.73,0.02
75,cambridgeshirepeterborough2021,7.4,0,34.80702749,48.10969374,17.08327877,0,0.25,0.73,0.02
76,cambridgeshirepeterborough2021,7.5,0,34.85234586,48.09018248,17.05747166,0,0.25,0.73,0.02
77,cambridgeshirepeterborough2021,7.6,0,34.88674694,48.04940164,17.06385142,0,0.25,0.73,0.02
78,cambridgeshirepeterborough2021,7.7,0,34.84351129,48.05781556,17.09867315,0,0.25,0.72,0.02
79,cambridgeshirepeterborough2021,7.8,0,34.8210173,48.10338011,17.07560259,0,0.25,0.73,0.02
80,cambridgeshirepeterborough2021,7.9,0,34.82620645,48.06979505,17.1039985,0,0.25,0.73,0.02
81,cambridgeshirepeterborough2021,8,0,34.84105797,48.0578538,17.10108823,0,0.25,0.73,0.02
82,cambridgeshirepeterborough2021,8.1,0,34.76334969,48.15266095,17.08398936,0,0.25,0.73,0.02
83,cambridgeshirepeterborough2021,8.2,0,34.86784337,48.07530935,17.05684727,0,0.25,0.73,0.02
84,cambridgeshirepeterborough2021,8.3,0,34.86275585,48.07324898,17.06399518,0,0.25,0.73,0.02
85,cambridgeshirepeterborough2021,8.4,0,34.80279892,48.15864124,17.03855984,0,0.25,0.73,0.02
86,cambridgeshirepeterborough2021,8.5,0,34.78925591,48.11254237,17.09820172,0,0.25,0.73,0.02
87,cambridgeshirepeterborough2021,8.6,0,34.80367357,48.14365428,17.05267215,0,0.25,0.73,0.02
88,cambridgeshirepeterborough2021,8.7,0,34.82289618,48.07112805,17.10597578,0,0.25,0.73,0.02
89,cambridgeshirepeterborough2021,8.8,0,34.87689198,48.03822678,17.08488125,0,0.25,0.73,0.02
90,cambridgeshirepeterborough2021,8.9,0,34.79988158,48.08270879,17.11740963,0,0.25,0.73,0.02
91,cambridgeshirepeterborough2021,9,0,34.85462884,48.07588942,17.06948175,0,0.25,0.73,0.02
92,cambridgeshirepeterborough2021,9.1,0,34.78789474,48.13142661,17.08067864,0,0.25,0.73,0.02
93,cambridgeshirepeterborough2021,9.2,0,34.7919018,48.08398197,17.12411623,0,0.25,0.73,0.02
94,cambridgeshirepeterborough2021,9.3,0,34.78625165,48.10451095,17.1092374,0,0.25,0.73,0.02
95,cambridgeshirepeterborough2021,9.4,0,34.88002493,48.01529492,17.10468015,0,0.26,0.72,0.02
96,cambridgeshirepeterborough2021,9.5,0,34.8729642,48.0984474,17.0285884,0,0.25,0.73,0.02
97,cambridgeshirepeterborough2021,9.6,0,34.81777599,48.11809851,17.06412549,0,0.25,0.73,0.02
98,cambridgeshirepeterborough2021,9.7,0,34.79942359,48.09356883,17.10700758,0,0.25,0.73,0.02
99,cambridgeshirepeterborough2021,9.8,0,34.82669844,48.05766124,17.11564032,0,0.25,0.73,0.02
100,cambridgeshirepeterborough2021,9.9,0,34.7442114,48.19785434,17.05793426,0,0.25,0.73,0.02
101,cambridgeshirepeterborough2021,10,0,34.77323334,48.14151346,17.0852532,0,0.25,0.73,0.02
102,cambridgeshirepeterborough2021,10.1,0,34.90556855,48.05837421,17.03605724,0,0.25,0.72,0.02
103,cambridgeshirepeterborough2021,10.2,0,34.81409473,48.11087869,17.07502658,0,0.25,0.73,0.02
104,cambridgeshirepeterborough2021,10.3,0,34.8224343,48.01645309,17.1611126,0,0.25,0.72,0.02
105,cambridgeshirepeterborough2021,10.4,0,34.82766188,48.11253237,17.05980575,0,0.25,0.73,0.02
106,cambridgeshirepeterborough2021,10.5,0,34.80591674,48.11066606,17.0834172,0,0.25,0.73,0.02
107,cambridgeshirepeterborough2021,10.6,0,34.82297081,48.08312403,17.09390516,0,0.25,0.73,0.02
108,cambridgeshirepeterborough2021,10.7,0,34.76663015,48.07304822,17.16032163,0,0.25,0.73,0.02
109,cambridgeshirepeterborough2021,10.8,0,34.7900116,48.13631224,17.07367616,0,0.25,0.73,0.02
110,cambridgeshirepeterborough2021,10.9,0,34.78722442,48.12342923,17.08934635,0,0.25,0.73,0.02
111,cambridgeshirepeterborough2021,11,0,34.78071747,48.15426579,17.06501674,0,0.25,0.73,0.02
112,cambridgeshirepeterborough2021,11.1,0,34.83685342,48.07817502,17.08497156,0,0.25,0.73,0.02
113,cambridgeshirepeterborough2021,11.2,0,34.82005846,48.12186922,17.05807232,0,0.25,0.73,0.02
114,cambridgeshirepeterborough2021,11.3,0,34.87150953,48.03506091,17.09342956,0,0.25,0.73,0.02
115,cambridgeshirepeterborough2021,11.4,0,34.83900554,48.09647719,17.06451727,0,0.25,0.73,0.02
116,cambridgeshirepeterborough2021,11.5,0,34.83550358,48.04075537,17.12374105,0,0.25,0.73,0.02
117,cambridgeshirepeterborough2021,11.6,0,34.82311345,48.06562271,17.11126384,0,0.25,0.73,0.02
118,cambridgeshirepeterborough2021,11.7,0,34.81079431,48.10812497,17.08108072,0,0.25,0.73,0.02
119,cambridgeshirepeterborough2021,11.8,0,34.80595278,48.14548941,17.04855781,0,0.25,0.73,0.02
120,cambridgeshirepeterborough2021,11.9,0,34.83387118,48.07120235,17.09492648,0,0.25,0.73,0.02
121,cambridgeshirepeterborough2021,12,0,34.80308452,48.09823713,17.09867835,0,0.25,0.73,0.02
122,cambridgeshirepeterborough2021,12.1,0,34.83937734,48.08845811,17.07216455,0,0.25,0.73,0.02
123,cambridgeshirepeterborough2021,12.2,0,34.8883561,48.04493909,17.06670481,0,0.25,0.73,0.02
124,cambridgeshirepeterborough2021,12.3,0,34.84762693,48.12965278,17.0227203,0,0.25,0.73,0.02
125,cambridgeshirepeterborough2021,12.4,0,34.85002558,48.05503139,17.09494303,0,0.25,0.73,0.02
126,cambridgeshirepeterborough2021,12.5,0,34.80335007,48.0988194,17.09783052,0,0.25,0.73,0.02
